review,true_label,predicted_label,positive_probability,confidence,error_type
The Ngage is still lacking in earbuds.,0,0,0.4602187556702171,0.5397812443297829,Correct
It defeats the purpose of a bluetooth headset.,0,1,0.60708117790598,0.60708117790598,False Positive
Phone is sturdy as all nokia bar phones are.,1,1,0.5451010921389726,0.5451010921389726,Correct
The sound is clear and the people I talk to on it are amazed at the quality too.,1,1,0.5836457556421835,0.5836457556421835,Correct
"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0,0,0.40865101910243157,0.5913489808975685,Correct
worthless product.,0,1,0.5165471001607307,0.5165471001607307,False Positive
I want my money back.,0,0,0.3148506986409789,0.6851493013590211,Correct
Love it.. Great armband.,1,1,0.8470932635363989,0.8470932635363989,Correct
"Excellent sound, battery life and inconspicuous to boot!.",1,1,0.6371277753038731,0.6371277753038731,Correct
The holster that arrived did not match the photo in the ad.,0,0,0.3010254264684482,0.6989745735315518,Correct
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,1,0.532578308033088,0.532578308033088,False Positive
What a piece of junk.. I lose more calls on this phone.,0,0,0.2516100701394624,0.7483899298605377,Correct
Timely shipment and quality product.,1,1,0.6269003296449395,0.6269003296449395,Correct
Nice docking station for home or work.,1,1,0.5072863894472582,0.5072863894472582,Correct
So Far So Good!.,1,1,0.7435007019412837,0.7435007019412837,Correct
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0,0,0.3667080793586536,0.6332919206413463,Correct
Lately they have been extremely nice and helpful on the phone.,1,1,0.5762024302375546,0.5762024302375546,Correct
Plantronics Bluetooth Excelent Buy.,1,0,0.48482268688670466,0.5151773131132953,False Negative
Couldn't figure it out,0,0,0.43315117516125207,0.566848824838748,Correct
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,1,0.6169907581873788,0.6169907581873788,Correct
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,1,0.8288199717384245,0.8288199717384245,Correct
The item received was Counterfeit.,0,0,0.4479628057256425,0.5520371942743575,Correct
"Needless to say, I wasted my money.",0,0,0.38944546207306513,0.6105545379269348,Correct
Disapointing Results.,0,0,0.4519311424631262,0.5480688575368737,Correct
Incredible!.,1,0,0.4874670788550924,0.5125329211449077,False Negative
Happy so far!.,1,1,0.6731524434070616,0.6731524434070616,Correct
Awsome Device Works Great!!.,1,1,0.9204685714716188,0.9204685714716188,Correct
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0,0,0.4186331262578553,0.5813668737421447,Correct
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",1,1,0.7064092666593309,0.7064092666593309,Correct
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,0,0.419061685676677,0.580938314323323,Correct
You'll love how thin it is.,1,1,0.5128480255240667,0.5128480255240667,Correct
Setup went very smoothly.,1,0,0.4772766704403025,0.5227233295596976,False Negative
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,0,0.4053013395435058,0.5946986604564942,Correct
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0,1,0.5695879474737283,0.5695879474737283,False Positive
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1,1,0.7814060895138768,0.7814060895138768,Correct
"Voice Quality, Signal Strength, Dropped Calls.",0,0,0.44586382516757544,0.5541361748324245,Correct
This frog phone charm is adorable and very eye catching.,1,1,0.6636921563468277,0.6636921563468277,Correct
Bad Reception.,0,0,0.3439246245274244,0.6560753754725757,Correct
The cutouts and buttons are placed perfectly.,1,1,0.503090258735464,0.503090258735464,Correct
WORTHWHILE.,1,0,0.4790893894589398,0.5209106105410601,False Negative
"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0,1,0.517020679625101,0.517020679625101,False Positive
Blue Ant is easy to use.,1,1,0.6246775600687156,0.6246775600687156,Correct
"Perhaps my phone is defective, but people cannot hear me when I use this.",0,0,0.4727828569697429,0.527217143030257,Correct
Battery is holding up well.,1,1,0.5356007980956395,0.5356007980956395,Correct
I'm still infatuated with this phone.,1,1,0.5547633675886844,0.5547633675886844,Correct
I did not have any problem with this item and would order it again if needed.,1,0,0.3949184166545658,0.6050815833454342,False Negative
"Simple, lightweight and great fit.",1,1,0.6829508839802647,0.6829508839802647,Correct
"After 3 months, screen just went black all of a sudden.",0,0,0.40833331678410756,0.5916666832158924,Correct
"Terrible product, and waste of money!",0,0,0.2811375350826176,0.7188624649173825,Correct
